Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2018-02-23,53.17584228515625,53.193194890341196,52.438371458315785,52.707331874175864,3532000
2018-02-26,53.41009521484375,53.44479711406396,52.8808523631026,53.40141725778553,3254500
2018-02-27,52.6726188659668,53.43611683271825,52.6726188659668,53.358031775781505,5918600
2018-02-28,51.735599517822266,52.87216681359195,51.726921562010205,52.820112317401225,5570700
2018-03-01,51.20635986328125,51.9264746850665,50.82461252604202,51.709572111929766,9962500
2018-03-02,51.154293060302734,51.29311055031654,50.6424029453137,50.90268532538083,8009700
2018-03-05,51.83104705810547,51.97853923833372,50.85064637361233,50.92005348499296,6580600
2018-03-06,52.40366744995117,52.7940894670611,51.81369213607591,52.06529662696053,8807500
2018-03-07,52.212791442871094,52.35160896732201,51.76163366098792,51.848393372643166,8393300
2018-03-08,52.256168365478516,52.429691088719764,51.90044827218575,52.32557877864328,5167300
2018-03-09,53.20186996459961,53.22789721775016,52.386317372395425,52.58586736911546,5863200
2018-03-12,53.07172393798828,53.52288172069477,52.967611621877815,53.26259927558318,4775200
2018-03-13,52.85482406616211,53.56626764022786,52.79409160283605,53.35803968763064,6069200
2018-03-14,52.2041130065918,53.097753914856014,52.10000069162723,53.08907595796766,5429400
2018-03-15,51.518699645996094,52.31689951949206,51.510021689731246,52.273519667179556,5235300
2018-03-16,51.515220642089844,51.79391640640117,51.323616058257464,51.41941835017365,5526500
2018-03-19,50.774932861328125,51.40199999888712,50.40043480109879,51.36716219739704,6341200
2018-03-20,50.722679138183594,51.12330388566178,50.618165734420565,50.957825990861444,3614400
2018-03-21,51.2974853515625,51.75907455212274,50.67041826980873,50.84460393944203,4853700
2018-03-22,49.7646598815918,51.07104753682007,49.73853319162823,50.88815406244386,7699700
2018-03-23,48.78921890258789,50.0172230197937,48.74567331704745,49.87787515267514,7908900
2018-03-26,49.7907829284668,49.83433183830718,48.902442311547354,49.36403151948015,5842100
2018-03-27,49.28565216064453,50.23496066445516,49.03308308111794,49.921427092948434,7291000
2018-03-28,48.65858459472656,49.55563971036662,48.5018178103357,49.37274291370021,11844200
2018-03-29,49.59046173095703,49.85174185417761,48.84146912097767,48.88501470074284,6210700
2018-04-02,48.510536193847656,49.668865027357846,48.08378136740741,49.4250070250012,9329400
2018-04-03,49.19855499267578,49.33790286057866,48.31891887715773,48.623744622287,6786400
2018-04-04,49.52080154418945,49.56434713457387,48.10119270591139,48.37988847115037,6436700
2018-04-05,50.4439811706543,50.618166858478496,49.67756945993287,49.75595285333797,7694300
2018-04-06,49.215980529785156,50.18270801252684,48.90245025528583,49.947557814915406,7911400
2018-04-09,49.485965728759766,50.07819508423687,49.137594347073566,49.485965728759766,6289200
2018-04-10,50.50495147705078,50.78364726239285,50.07819668694308,50.14787229443651,12802600
2018-04-11,50.13045120239258,50.33947137110924,49.93884661247256,50.1391589917909,6457400
2018-04-12,50.66171646118164,50.87073996758401,50.22625386829963,50.3568939750906,3536800
2018-04-13,50.60945129394531,51.07975158212322,50.42655784487006,50.94040371773515,4321800
2018-04-16,51.28877639770508,51.36715978622063,50.72267710048424,50.98395395476428,6332100
2018-04-17,51.87230682373047,52.020362515061564,51.39329529926863,51.619737714889865,4781200
2018-04-18,52.24679946899414,52.47323853862824,52.04648376753253,52.16841607521393,4736200
2018-04-19,51.663272857666016,52.30775884597421,51.47166828664986,52.30775884597421,5819600
2018-04-20,51.38458251953125,51.82875287271168,51.16685123766883,51.67198940630118,4351100
2018-04-23,51.23651885986328,51.445538997388816,51.09716767175935,51.28006444498817,3097700
2018-04-24,49.851749420166016,51.42812157418837,49.329192416731274,51.42812157418837,8724200
2018-04-25,50.12173843383789,50.2785052163511,49.48596351467459,49.938844961677674,7950500
2018-04-26,50.435279846191406,50.644303362836595,50.06949284495743,50.356896442738964,4937600
2018-04-27,50.30462646484375,50.574614410483626,49.94754734825693,50.443974331747995,7898400
2018-04-30,49.65143966674805,50.55720258958547,49.59918628579076,50.38301690099125,4875200
2018-05-01,49.6078987121582,49.62531761487739,48.963415923128466,49.38145962144083,6281100
2018-05-02,49.49467849731445,49.87788437214377,49.39887619802816,49.686279773571194,6370300
2018-05-03,49.72111129760742,50.04335263624936,49.02437192122672,49.55563673394057,9760800
2018-05-04,50.33946990966797,50.61816567474297,49.372742521051016,49.39887253311876,4452900
2018-05-07,50.322052001953125,50.635585574427644,50.14786963708119,50.39172760575442,4945800
2018-05-08,50.21754455566406,50.42656805572884,49.94755656022952,50.20012565379901,3674600
2018-05-09,50.94041061401367,51.010082894482316,50.4091457708884,50.4091457708884,12032900
2018-05-10,51.30619812011719,51.602312790542044,50.94911895775037,50.983956759521675,4833000
2018-05-11,51.28877639770508,51.70682002901622,51.219104120310945,51.34103309748726,3552500
2018-05-14,51.48908996582031,51.65456785783725,51.28877759545055,51.43683658713331,2785800
2018-05-15,51.33234405517578,51.41943859225646,50.91430024413917,51.22783393299585,7163800
2018-05-16,51.941959381103516,52.011634966307795,51.33231129982514,51.33231129982514,3362400
2018-05-17,52.06391143798828,52.2555160600162,51.82005342618273,51.82005342618273,10367300
2018-05-18,52.133575439453125,52.2816311072599,51.97680866041331,52.00293534948145,3275400
2018-05-21,52.41227722167969,52.53420621443326,52.22938373254933,52.41227722167969,5296000
2018-05-22,51.976806640625,52.569035933469394,51.924549942203896,52.41226916052145,3852500
2018-05-23,51.854881286621094,51.87230018731081,51.39328872413257,51.63715001147302,3649400
2018-05-24,51.67198181152344,51.941966435068295,51.41070165383908,51.75036187205049,3549400
2018-05-25,51.393280029296875,51.55004678666656,51.21038658647058,51.45424783255401,4057700
2018-05-29,50.50495147705078,51.26265543580479,50.3394735704118,50.95782963649477,5849900
2018-05-30,51.097171783447266,51.253938560363714,50.71396595227118,50.87073272918764,4353100
2018-05-31,50.67042541503906,51.23652809059678,50.644298723720205,51.15814469432441,5778300
2018-06-01,51.44554138183594,51.61101594190615,51.04491666441414,51.04491666441414,3802700
2018-06-04,51.74165344238281,51.84616351077172,51.61101336516031,51.64585116206167,4539900
2018-06-05,52.133575439453125,52.31646890756108,51.732950702936044,51.80262298122291,3325700
2018-06-06,53.100303649902344,53.117722550330825,52.04648176903009,52.19454076151443,8192400
2018-06-07,52.830326080322266,53.1699863997763,52.5951758617042,53.126440801287664,5157300
2018-06-08,52.97837448120117,53.07417344974453,52.490655237881136,52.77805878814228,3786000
2018-06-11,53.05675506591797,53.18739515878206,52.812897103041614,52.9086993948332,2886800
2018-06-12,53.12643051147461,53.3093239830928,52.92611813937151,53.135138300559284,4477900
2018-06-13,52.5516242980957,53.21352595801281,52.49065980266844,53.1873992663485,4059200
2018-06-14,52.6300048828125,52.89128175244019,52.420981393720965,52.76935276810165,2539700
2018-06-15,52.26250457763672,52.43750107636033,51.89501493431968,52.288752884222056,6527600
2018-06-18,52.13127136230469,52.2275162872293,51.79877827416995,51.860026561749855,8991500
2018-06-19,51.17753982543945,51.623777791966674,50.74005018313465,51.51878121239222,7211700
2018-06-20,51.01129913330078,51.38754054808263,50.80130594324396,51.38754054808263,5335200
2018-06-21,50.46879577636719,50.94128530099633,50.38129919970866,50.88878535233294,7186500
2018-06-22,51.20378875732422,51.32628532461127,50.845047379791644,50.845047379791644,7114200
2018-06-25,50.407562255859375,50.9500485330064,49.9963208821062,50.9500485330064,9790600
2018-06-26,50.60005569458008,50.75754890147379,50.390059189086436,50.49505577294265,3708100
2018-06-27,50.44255447387695,51.405030301863306,50.42505448855963,50.871292431918164,5787800
2018-06-28,50.635040283203125,50.7575368248536,50.10130249077141,50.460043793225125,5889400
2018-06-29,50.81003952026367,51.42252559941098,50.74004292315631,50.74004292315631,5042900
2018-07-02,50.538795471191406,50.65254369805143,50.1800541444304,50.442550566073635,7682900
2018-07-03,50.4513053894043,51.177539797366826,50.33755714788874,50.86254672103518,3389400
2018-07-05,50.8887939453125,50.93254224102901,50.40755601686882,50.80129735387947,5559200
2018-07-06,51.14253616333008,51.29128102884765,50.56505001066149,50.801294800996025,4530900
2018-07-09,51.597537994384766,51.623786309163705,51.3437931589162,51.387541462808315,4537800
2018-07-10,52.035011291503906,52.06125959800135,51.58002173145829,51.58002173145829,5973300
