,XLK,XLE,XLF,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
Ticker,XLK,XLE,XLF,XLV,XLY,XLP,XLI,XLU,XLB,XLRE,XLC
Date,,,,,,,,,,,
2024-02-12,204.8551025390625,81.52625274658203,38.652862548828125,141.9458770751953,178.26791381835938,71.6173095703125,115.40216827392578,59.09341049194336,82.30564880371094,36.988746643066406,78.55352020263672
2024-02-13,201.37893676757812,80.70352935791016,38.13105773925781,140.6268310546875,174.71743774414062,70.8488998413086,114.21976470947266,58.11449432373047,81.14669799804688,36.31253433227539,77.44574737548828
2024-02-14,203.48451232910156,80.62611389160156,38.49533462524414,141.84744262695312,176.56210327148438,70.71272277832031,116.13130950927734,58.4343376159668,81.667236328125,36.55403518676758,78.6821060180664
2024-02-15,203.05743408203125,82.87163543701172,39.15497589111328,142.8810272216797,178.6051025390625,71.16987609863281,116.99840545654297,59.41324996948242,83.20924377441406,37.433109283447266,79.32501220703125
2024-02-16,201.19024658203125,82.8232421875,39.01714324951172,143.3436737060547,177.54393005371094,71.27686309814453,116.29881286621094,59.34540557861328,83.6512222290039,37.04669952392578,78.08865356445312
2024-02-20,199.14427185058594,82.06829071044922,38.90884017944336,142.86135864257812,175.8678741455078,72.02582550048828,115.93424224853516,59.306636810302734,83.47442626953125,36.988746643066406,77.96996307373047
2024-02-21,197.8928680419922,83.60723114013672,39.02698516845703,143.17633056640625,177.16705322265625,72.28843688964844,116.39734649658203,60.09170913696289,83.93605041503906,37.25922775268555,77.88093566894531
2024-02-22,204.3684539794922,83.75242614746094,39.47986602783203,144.859619140625,180.6084442138672,72.51216125488281,117.83592224121094,59.62648391723633,84.78070831298828,37.35582733154297,79.04806518554688
2024-02-23,203.89170837402344,83.20072174072266,39.67677307128906,145.5486602783203,179.79519653320312,72.73587799072266,118.45669555664062,60.05293655395508,85.28162384033203,37.40413284301758,78.85025024414062
2024-02-26,204.09036254882812,83.49109649658203,39.47986602783203,144.80055236816406,180.35060119628906,72.4440689086914,118.27933502197266,58.87049102783203,84.77088928222656,36.97908401489258,77.70289611816406
2024-02-27,204.26910400390625,83.13297271728516,39.58816909790039,144.44618225097656,180.94564819335938,72.45378875732422,118.45669555664062,59.9850959777832,85.0851821899414,37.00806427001953,78.33592987060547
